Lat,Lon
-5.0959,36.1506
-5.0959,36.2012
-5.0959,36.2519
-5.1464,35.8974
-5.1464,35.948
-5.1464,35.9987
-5.1464,36.0493
-5.1464,36.1
-5.1464,36.1506
-5.1464,36.2012
-5.1464,36.2519
-5.1969,35.8468
-5.1969,35.8974
-5.1969,35.948
-5.1969,35.9987
-5.1969,36.0493
-5.1969,36.1
-5.1969,36.1506
-5.1969,36.2012
-5.1969,36.2519
-5.2475,35.7961
-5.2475,35.8468
-5.2475,35.8974
-5.2475,35.948
-5.2475,35.9987
-5.2475,36.0493
-5.2475,36.1
-5.2475,36.1506
-5.2475,36.2012
-5.2475,36.2519
-5.2475,36.3532
-5.2475,36.4038
-5.2475,36.4545
-5.298,35.7961
-5.298,35.8468
-5.298,35.8974
-5.298,35.948
-5.298,35.9987
-5.298,36.0493
-5.298,36.1
-5.298,36.1506
-5.298,36.2012
-5.298,36.2519
-5.298,36.3025
-5.298,36.3532
-5.298,36.4038
-5.298,36.4545
-5.298,36.5051
-5.3485,35.7961
-5.3485,35.8468
-5.3485,35.8974
-5.3485,35.948
-5.3485,35.9987
-5.3485,36.0493
-5.3485,36.1
-5.3485,36.1506
-5.3485,36.2012
-5.3485,36.2519
-5.3485,36.3025
-5.3485,36.3532
-5.3485,36.4038
-5.3485,36.4545
-5.3485,36.5051
-5.3485,36.5557
-5.399,35.7961
-5.399,35.8468
-5.399,35.8974
-5.399,35.948
-5.399,35.9987
-5.399,36.0493
-5.399,36.1
-5.399,36.1506
-5.399,36.2012
-5.399,36.2519
-5.399,36.3025
-5.399,36.3532
-5.399,36.4038
-5.399,36.4545
-5.399,36.5051
-5.4496,35.7455
-5.4496,35.7961
-5.4496,35.8468
-5.4496,35.8974
-5.4496,35.948
-5.4496,35.9987
-5.4496,36.0493
-5.4496,36.1
-5.4496,36.1506
-5.4496,36.2012
-5.4496,36.2519
-5.4496,36.3025
-5.4496,36.3532
-5.4496,36.4038
-5.4496,36.4545
